client_employee_id,first_name,middle_name,last_name,preferred_name,job_code,job_title,job_start_date,organization_id,organization_name,department_id,department_name,dob,hire_date,recent_hire_date,anniversary_date,term_date,years_of_experience,work_email,address,city,state,zip,country,manager_employee_id,manager_employee_name,fte_status,is_per_deim,cell_phone,work_phone,scheduled_weekly_hour,active_status,termination_reason,clinical_level,_source_file,_ingested_at,_batch_id
00037,Demo00037,null,Nurse,Demo00037,1995,"Manager, CT Scan",1998-06-01,Lowell General Hospital,Lowell General Hospital,72800,72800-CT Scan,1970-08-07,1998-06-01,1998-06-01,1998-06-01,null,null,nurse+00037@laudio.com,XXXXXXX,XXXXXXX,XXXXXXX,null,XXXXXXX,09569,null,Full_time,null,978xxxxxxx,null,40,1,null,null,dbfs:/Volumes/workforce/raw/raw_data/employee_202510161125.csv,2026-09-14T16:36:12.754Z,20260914_163601
507210,Demo507210,null,Nurse,Demo507210,1001,Administrative Assistant II,1994-01-11,Care at Home,Care at Home,214638,214638-Clinical Scheduler Law Hospice,1963-03-17,1994-01-11,1994-01-11,1994-01-11,null,null,nurse+507210@laudio.com,XXXXXXX,XXXXXXX,XXXXXXX,null,XXXXXXX,507237,null,Full_time,null,978xxxxxxx,null,40,1,null,null,dbfs:/Volumes/workforce/raw/raw_data/employee_202510161125.csv,2026-09-14T16:36:12.754Z,20260914_163601
00080,Demo00080,null,Nurse,Demo00080,4377,Ultrasound Technologist III - PD,1998-07-16,Lowell General Hospital,Lowell General Hospital,72300,72300-Ultrasound,1960-02-14,1998-07-16,1998-07-16,1998-07-16,null,null,nurse+00080@laudio.com,XXXXXXX,XXXXXXX,XXXXXXX,null,XXXXXXX,05119,null,Variable_time,null,978xxxxxxx,null,40,1,null,null,dbfs:/Volumes/workforce/raw/raw_data/employee_202510161125.csv,2026-09-14T16:36:12.754Z,20260914_163601
503912,Demo503912,null,Nurse,Demo503912,2129,Nurse Assistant,1994-04-04,Lowell General Hospital,Lowell General Hospital,63200,63200-Medical Surgical Unit 2,1965-12-12,1994-04-04,1994-04-04,2024-10-29,2024-10-28,null,nurse+503912@laudio.com,XXXXXXX,XXXXXXX,XXXXXXX,null,XXXXXXX,03297,null,Full_time,null,978xxxxxxx,null,40,0,Terminate_Employee_Involuntary,null,dbfs:/Volumes/workforce/raw/raw_data/employee_202510161125.csv,2026-09-14T16:36:12.754Z,20260914_163601
00025,Demo00025,null,Nurse,Demo00025,1616,CT Technologist III,1998-06-01,Lowell General Hospital,Lowell General Hospital,72800,72800-CT Scan,1975-02-05,1998-06-01,1998-06-01,1998-06-01,null,null,nurse+00025@laudio.com,XXXXXXX,XXXXXXX,XXXXXXX,null,XXXXXXX,00037,null,Full_time,null,978xxxxxxx,null,40,1,null,null,dbfs:/Volumes/workforce/raw/raw_data/employee_202510161125.csv,2026-09-14T16:36:12.754Z,20260914_163601
506323,Demo506323,null,Nurse,Demo506323,1478,Clinical Coordinator-RN,1999-08-02,Care at Home,Care at Home,220537,220537-Clinical Coordinator Law Home Health,1963-04-12,1999-08-02,1999-08-02,1999-08-02,null,null,nurse+506323@laudio.com,XXXXXXX,XXXXXXX,XXXXXXX,null,XXXXXXX,502646,null,Full_time,null,603xxxxxxx,null,40,1,null,null,dbfs:/Volumes/workforce/raw/raw_data/employee_202510161125.csv,2026-09-14T16:36:12.754Z,20260914_163601
00068,Demo00068,null,Nurse,Demo00068,1195,Unit Coordinator II,1998-07-07,Lowell General Hospital,Lowell General Hospital,61100,61100-Intensive Care Unit,1952-07-06,1998-07-07,1998-07-07,1998-07-07,null,null,nurse+00068@laudio.com,XXXXXXX,XXXXXXX,XXXXXXX,null,XXXXXXX,92189,null,Full_time,null,978xxxxxxx,null,40,1,null,null,dbfs:/Volumes/workforce/raw/raw_data/employee_202510161125.csv,2026-09-14T16:36:12.754Z,20260914_163601
505689,Demo505689,null,Nurse,Demo505689,3844,Home Health Aide II - PD,2006-08-09,Care at Home,Care at Home,236082,236082-Home Health Aide Lowell,1972-06-09,2006-08-09,2006-08-09,2024-12-12,2024-12-11,null,nurse+505689@laudio.com,XXXXXXX,XXXXXXX,XXXXXXX,null,XXXXXXX,507238,null,Part_time,null,978xxxxxxx,null,40,0,Terminate_Employee_Voluntary,null,dbfs:/Volumes/workforce/raw/raw_data/employee_202510161125.csv,2026-09-14T16:36:12.754Z,20260914_163601
00131,Demo00131,null,Nurse,Demo00131,1001,Administrative Assistant II,1998-08-26,Lowell General Hospital,Lowell General Hospital,71200,71200-Cardiology,1971-11-16,1998-08-26,1998-08-26,1998-08-26,null,null,nurse+00131@laudio.com,XXXXXXX,XXXXXXX,XXXXXXX,null,XXXXXXX,09181,null,Full_time,null,978xxxxxxx,null,40,1,null,null,dbfs:/Volumes/workforce/raw/raw_data/employee_202510161125.csv,2026-09-14T16:36:12.754Z,20260914_163601
00214,Demo00214,null,Nurse,Demo00214,1090,Patient Access Coordinator I,1998-10-05,Lowell General Hospital,Lowell General Hospital,75000,75000-Weight Management Center,1977-09-05,1998-10-05,1998-10-05,1998-10-05,null,null,nurse+00214@laudio.com,XXXXXXX,XXXXXXX,XXXXXXX,null,XXXXXXX,04380,null,Full_time,null,978xxxxxxx,null,40,1,null,null,dbfs:/Volumes/workforce/raw/raw_data/employee_202510161125.csv,2026-09-14T16:36:12.754Z,20260914_163601
