client_employee_id,first_name,last_name,preferred_name,job_code,job_title,job_start_date,organization_name,department_id,dob,hire_date,recent_hire_date,anniversary_date,term_date,work_email,address,city,state,country,manager_employee_id,fte_status,cell_phone,scheduled_weekly_hour,active_status,termination_reason,_source_file,_ingested_at,_batch_id,department_code,department_name,employment_status,full_name,manager_exists,tenure_end_date,tenure_days,tenure_years,days_to_termination,is_early_attrition
00037,Demo00037,Nurse,Demo00037,1995,"Manager, CT Scan",1998-06-01,Lowell General Hospital,72800,1970-08-07,1998-06-01,1998-06-01,1998-06-01,null,nurse+00037@laudio.com,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,09569,Full Time,978xxxxxxx,40.00,true,null,dbfs:/Volumes/workforce/raw/raw_data/employee_202510161125.csv,2026-09-14T16:36:12.754Z,20260914_163601,72800,CT Scan,Active,Demo00037 Nurse,false,2025-10-16,9999,27.38,null,false
507210,Demo507210,Nurse,Demo507210,1001,Administrative Assistant II,1994-01-11,Care at Home,214638,1963-03-17,1994-01-11,1994-01-11,1994-01-11,null,nurse+507210@laudio.com,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,507237,Full Time,978xxxxxxx,40.00,true,null,dbfs:/Volumes/workforce/raw/raw_data/employee_202510161125.csv,2026-09-14T16:36:12.754Z,20260914_163601,214638,Clinical Scheduler Law Hospice,Active,Demo507210 Nurse,false,2025-10-16,11601,31.76,null,false
00080,Demo00080,Nurse,Demo00080,4377,Ultrasound Technologist III - PD,1998-07-16,Lowell General Hospital,72300,1960-02-14,1998-07-16,1998-07-16,1998-07-16,null,nurse+00080@laudio.com,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,05119,Variable Time,978xxxxxxx,40.00,true,null,dbfs:/Volumes/workforce/raw/raw_data/employee_202510161125.csv,2026-09-14T16:36:12.754Z,20260914_163601,72300,Ultrasound,Active,Demo00080 Nurse,false,2025-10-16,9954,27.25,null,false
503912,Demo503912,Nurse,Demo503912,2129,Nurse Assistant,1994-04-04,Lowell General Hospital,63200,1965-12-12,1994-04-04,1994-04-04,2024-10-29,2024-10-28,nurse+503912@laudio.com,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,03297,Full Time,978xxxxxxx,40.00,false,Involuntary,dbfs:/Volumes/workforce/raw/raw_data/employee_202510161125.csv,2026-09-14T16:36:12.754Z,20260914_163601,63200,Medical Surgical Unit 2,Terminated,Demo503912 Nurse,false,2024-10-28,11165,30.57,11165,false
00025,Demo00025,Nurse,Demo00025,1616,CT Technologist III,1998-06-01,Lowell General Hospital,72800,1975-02-05,1998-06-01,1998-06-01,1998-06-01,null,nurse+00025@laudio.com,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,00037,Full Time,978xxxxxxx,40.00,true,null,dbfs:/Volumes/workforce/raw/raw_data/employee_202510161125.csv,2026-09-14T16:36:12.754Z,20260914_163601,72800,CT Scan,Active,Demo00025 Nurse,true,2025-10-16,9999,27.38,null,false
506323,Demo506323,Nurse,Demo506323,1478,Clinical Coordinator-RN,1999-08-02,Care at Home,220537,1963-04-12,1999-08-02,1999-08-02,1999-08-02,null,nurse+506323@laudio.com,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,502646,Full Time,603xxxxxxx,40.00,true,null,dbfs:/Volumes/workforce/raw/raw_data/employee_202510161125.csv,2026-09-14T16:36:12.754Z,20260914_163601,220537,Clinical Coordinator Law Home Health,Active,Demo506323 Nurse,false,2025-10-16,9572,26.21,null,false
00068,Demo00068,Nurse,Demo00068,1195,Unit Coordinator II,1998-07-07,Lowell General Hospital,61100,1952-07-06,1998-07-07,1998-07-07,1998-07-07,null,nurse+00068@laudio.com,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,92189,Full Time,978xxxxxxx,40.00,true,null,dbfs:/Volumes/workforce/raw/raw_data/employee_202510161125.csv,2026-09-14T16:36:12.754Z,20260914_163601,61100,Intensive Care Unit,Active,Demo00068 Nurse,false,2025-10-16,9963,27.28,null,false
505689,Demo505689,Nurse,Demo505689,3844,Home Health Aide II - PD,2006-08-09,Care at Home,236082,1972-06-09,2006-08-09,2006-08-09,2024-12-12,2024-12-11,nurse+505689@laudio.com,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,507238,Part Time,978xxxxxxx,40.00,false,Voluntary,dbfs:/Volumes/workforce/raw/raw_data/employee_202510161125.csv,2026-09-14T16:36:12.754Z,20260914_163601,236082,Home Health Aide Lowell,Terminated,Demo505689 Nurse,true,2024-12-11,6699,18.34,6699,false
00131,Demo00131,Nurse,Demo00131,1001,Administrative Assistant II,1998-08-26,Lowell General Hospital,71200,1971-11-16,1998-08-26,1998-08-26,1998-08-26,null,nurse+00131@laudio.com,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,09181,Full Time,978xxxxxxx,40.00,true,null,dbfs:/Volumes/workforce/raw/raw_data/employee_202510161125.csv,2026-09-14T16:36:12.754Z,20260914_163601,71200,Cardiology,Active,Demo00131 Nurse,false,2025-10-16,9913,27.14,null,false
00214,Demo00214,Nurse,Demo00214,1090,Patient Access Coordinator I,1998-10-05,Lowell General Hospital,75000,1977-09-05,1998-10-05,1998-10-05,1998-10-05,null,nurse+00214@laudio.com,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,04380,Full Time,978xxxxxxx,40.00,true,null,dbfs:/Volumes/workforce/raw/raw_data/employee_202510161125.csv,2026-09-14T16:36:12.754Z,20260914_163601,75000,Weight Management Center,Active,Demo00214 Nurse,false,2025-10-16,9873,27.03,null,false
